-0.92,0.01,0.45,11.84,21.06,12.21
-0.90,0.04,0.45,14.83,23.80,10.25
-0.89,0.04,0.42,16.36,27.28,6.71
-0.89,0.00,0.35,17.88,28.44,3.91
-0.87,-0.04,0.28,18.43,26.06,4.82
-0.84,-0.04,0.24,19.17,23.62,8.12
-0.82,-0.00,0.21,17.82,22.46,9.40
-0.78,0.03,0.17,14.65,21.97,7.57
-0.74,0.03,0.15,10.07,22.09,5.43
-0.71,0.01,0.09,20.81,22.89,4.03
-0.68,-0.01,0.00,23.25,21.48,2.69
-0.60,-0.04,-0.09,27.53,19.29,4.27
-0.50,-0.03,-0.20,23.74,16.78,9.70
-0.42,0.03,-0.32,32.84,11.60,13.79
-0.34,0.11,-0.46,37.72,0.55,15.50
-0.26,0.20,-0.58,31.49,-18.07,13.37
-0.16,0.27,-0.67,35.34,-40.77,7.26
-0.04,0.30,-0.75,38.27,-65.43,0.37
0.05,0.31,-0.77,51.82,-93.63,-5.19
0.14,0.31,-0.73,72.88,-126.83,-8.85
0.22,0.33,-0.60,85.57,-157.29,-14.22
0.29,0.31,-0.41,91.00,-178.96,-21.12
0.35,0.27,-0.31,72.08,-193.18,-28.99
0.39,0.18,-0.18,-23.07,-211.85,-38.45
0.35,0.08,0.05,-23.62,-225.40,-42.11
0.34,0.06,0.14,26.92,-244.32,-45.78
0.32,0.04,0.20,26.98,-270.20,-53.34
0.21,-0.01,0.46,64.76,-299.93,-57.80
0.08,-0.02,0.77,183.35,-329.41,-52.73
-0.00,0.04,1.07,192.93,-350.52,-42.85
-0.11,0.11,1.53,104.68,-342.90,-36.07
-0.29,0.15,2.02,19.78,-309.14,-40.16
-0.50,0.11,2.39,-26.73,-259.70,-51.27
-0.73,-0.00,2.60,-33.26,-209.29,-62.19
-0.93,-0.17,2.64,-2.14,-166.08,-67.38
-1.06,-0.32,2.50,8.36,-138.92,-62.99
-1.17,-0.48,2.43,-60.49,-128.48,-50.11
-1.30,-0.59,2.57,-80.93,-107.36,-28.50
-1.39,-0.58,2.68,-39.00,-87.40,-8.67
-1.42,-0.48,2.77,-9.83,-64.21,3.42
-1.40,-0.34,2.84,14.95,-36.25,5.37
-1.37,-0.30,2.86,0.49,-6.53,1.22
-1.34,-0.33,2.86,-8.97,29.72,2.08
-1.27,-0.36,2.77,-21.18,62.68,6.84
-1.18,-0.37,2.63,-39.73,95.09,17.27
-1.07,-0.31,2.34,-51.45,122.86,26.73
-1.00,-0.28,2.05,-119.51,133.91,34.30
-0.94,-0.27,1.89,-108.28,132.20,42.42
-0.84,-0.22,1.83,-103.82,130.37,47.61
-0.72,-0.17,1.81,-87.34,137.51,49.93
-0.65,-0.13,1.86,-68.36,154.79,54.14
-0.57,-0.03,1.66,25.27,178.22,50.05
-0.51,0.04,1.29,17.82,173.28,35.16
-0.48,-0.02,1.11,7.81,166.02,27.53
-0.42,-0.06,1.02,-49.26,162.78,31.19
-0.40,-0.03,1.04,-65.25,161.80,37.90
-0.37,0.02,1.01,-48.16,167.85,35.89
-0.35,0.00,0.94,-12.39,175.11,29.85
-0.31,-0.05,0.77,55.85,183.96,25.76
-0.29,-0.09,0.52,53.71,179.14,23.80
-0.24,-0.12,0.37,82.58,166.44,28.38
-0.16,-0.08,0.20,88.81,155.64,35.28
-0.17,-0.02,0.09,27.71,147.46,37.05
-0.15,0.02,0.04,17.76,138.31,38.70
-0.09,0.09,-0.04,-22.71,132.63,40.28
-0.06,0.18,-0.09,-41.20,129.94,38.94
-0.04,0.25,-0.18,-63.05,126.46,33.57
-0.05,0.28,-0.26,-63.54,118.16,26.37
-0.01,0.26,-0.35,-34.91,107.91,17.70
0.02,0.23,-0.50,-13.67,100.16,10.80
-0.02,0.18,-0.67,19.35,82.03,-1.22
0.00,0.05,-0.80,27.77,59.14,-10.50
0.03,-0.07,-0.88,24.66,37.17,-8.30
0.09,-0.09,-0.90,29.42,14.40,-1.53
0.18,-0.04,-0.89,31.98,-8.91,6.29
0.20,0.01,-0.88,19.65,-26.49,8.42
0.23,0.03,-0.87,30.40,-46.88,10.80
0.27,0.08,-0.90,40.04,-73.24,16.48
0.26,0.16,-0.89,43.82,-107.48,18.25
0.22,0.23,-0.76,41.69,-148.25,8.12
0.14,0.18,-0.45,36.44,-185.49,-6.53
0.02,0.03,-0.04,34.67,-206.67,-14.16
-0.12,-0.10,0.34,36.19,-209.96,-12.21
-0.27,-0.18,0.61,42.36,-203.86,-3.91
-0.42,-0.20,0.82,41.08,-196.47,6.71
-0.52,-0.17,0.99,39.86,-184.33,18.31
-0.59,-0.08,1.09,30.21,-164.92,30.09
-0.65,0.05,1.13,16.78,-147.58,34.36
-0.72,0.16,1.17,2.62,-139.65,29.85
-1.00,-0.61,1.97,43.46,-137.39,27.34
-1.20,-2.41,2.77,106.57,-8.54,203.92
-0.77,-1.30,1.91,-92.04,106.75,460.75
-0.53,1.51,0.88,89.05,47.24,406.01
-0.74,2.27,0.81,84.35,-11.35,254.82
-0.87,2.04,1.14,73.30,-61.22,113.59
-1.05,1.47,1.60,40.59,-62.62,30.64
-1.07,1.38,1.61,7.69,-38.76,-26.06
-0.97,1.47,1.21,-19.47,-46.14,-96.31
